Message;Real_Risk
Фиксирующий хомут трубопровода выхода ВМР С-1/1 УОГ ослаблен.;0
Фиксирующий хомут трубопровода подачи воды на охлождение Компресора воздуха сломан.;0
Фиксирующий хомут трубопровода подачи метанола на кусты газовых скважин ЗПА (возле шлейфа к.114) ослаблен.;0
"В рамках вовлечения всех работников к активному участию в деятельность по повышению энергоэфективности и энергосбережению и исполнения политики ООО ""Газпром добыча Ямбург"" в области энергоэфективности и энергосбережения, рабочее освещение (кроме аварийного) в производственных цехах, подсобных помещениях, в ремонтных мастерских, в электроустановках без нахождения персонала в светлое время суток, в целях повышения ресурса осветительных устройств, необходимо отключать.";0
На кранах обвязки ГПА 515 снежные наносы;0
Поз.54 неисправен доводчик входной двери.;0
 В инструментальном ящике обнаружена отвертка со сколами на рукоятке;0
"""зажаты"" шторки забора воздуха.Приточная вентиляция . Технолгиеский корпус";0
1. Отсутствует освещение в тамбуре перед входом в помещение каналов АСУТП здания ЦПГ 2оч. 2. Неисправно освещение внутри помещения (не горят две лампы).;0
1.Занесены снегом подходы к ГПА № 721,722 КЦ-2.  2.Повреждено защитное ограждение тонельной лесницы напротив крана 31.2 КЦ-2. 3.Заметены снегом проходы к лестницам ГПА 713 КЦ-1.;0
2.1.5 (ЦПГр)- Наличие снега на путях передвижения и на площадках отсутствия  3.5.2 (ЦПГр)- Пыль на поверхностях воздуховодах и вентиляторах В-5;0
2ВЛО-6. Не горит светильник освещения на опоре №5.;0
3.1.5. Низкий уровень маслобака двигателя ГПА-№726.;0
3.2.1 Утечка по фланцевому соединению ГСМ Е-5;0
3.2.2 (ЦПГ-1) - Не соответствие режима работы технологических трубопроводов (Отстуствие проходимости на линии между Е-8а/2 и УТЕ);0
4 модуль, помещение приточной вентиляции: не закреплен огнетушитель ОУ-7.;0
Cломана ручка двери на входе в ангар ГПА-914.;0
Cрвана пломба на фланцевом соединении насоса Н1-1.;0
АБК. Неисправность запорного устройства двери (ручка).;0
АБК. Утечка на трубопроводе ХВС.;0
Аварийный запас СИЗОД, ПШ-2, повреждена и не читается бирка с датой испытания.;0
"АГРС ""Промбаза"" переходы между блок-боксами замело снегом.При входе в РММ на козырьке накопился снег.";0
"АГРС ""Промбаза"". Жидкость в плафонах ВЗГ-200. Неисправное освещение в рабочей зоне.";0
"АГРС ""Промбаза"". Неисправна КУ на б/б одоризации.";0
"АГРС ""Промбаза"". Посторонние предметы в тепло-пункте АГРС.";0
АГРС ПОЗ.3 ПТПГ 30 № 2 ,образование наледи и льда на оголовке дымохода подогревателя газа.;0
Аппараты воздушного охлаждения (поз.16). 20ВХ-1/2 Не закрывется дверь на входе в секцию.;0
Аппараты воздушного охлаждения (поз.16). 20ВХ-1/6 Не закрывется дверь на входе в секцию из за провисания.;0
АР-01, 1т.н. нарушена целостность ЛКП трубопровода от Г103.1 до тройника;0
Арм. блок К1.1 недостаточное освещение;0
АСППТ. Отсутсвует табличка выход.;0
Б/Б насосная ГСМ АВВ повреждено заземление электродвигателя;0
б/б НДиМ. На задвижке номер 1 отсутствует надпись направления вращения (Откр. Закр);0
База РЭЦ РММ. Не горит светильник в сан.узле.;0
База РЭЦ РММ. Недостаточная освещенность при входе в цех в зоне ворот.;0
База РЭЦ. Открытый склад аварийного запаса материалов заметен снегом.;0
База УМС. Не работает кнопка запуска на компрессоре.;0
БВП нависание снега и льда над площадкой пож.выхода 2 этаж;0
БВП не горит Аварийное освещение;0
Беспорядок в помещении №109.;0
Блок -бокс КИПиА входная дверь не открывается легко,задевает дверную коробку.Обледенение на ступенях крыльца РММ.;0
"Блок бокс насосная метанола ,повреждена табличка ""В работе"" на насосе Н 5-3";0
Блок бокс насосной метанола, занесены снегом пути передвижение.;0
БОК и ГФ №4. Не горит светильник;0
Бокс №14. Недостаточное освещение рабочего места.;0
Бочка с краской возле Е-7 (УППГ-3В);0
Бочка с краской на 1 этаже в торце тех. корпуса;0
Бочка с краской на 1 этаже в торце техкорпуса (УППГ-3В);0
БППП 1 этаж не горит аварийное освещение;0
"БППП лестница на 2-й этаж не читается знак ""ПЕРЕПАД ВЫСОТЫ""";0
БППП ослабло крепление розетки в комнате приёма пищи;0
БППП пульт не горит аварийное освещение;0
БППП пульт разряжен газоанализатор ГАНК-4;0
БППП углекислотный огнетушитель №43 повреждена пломба;0
БППП, 2 этаж, закрыта дверь пожарного выхода.;0
БППП, 2 этаж, занесена снегом площадка аварийного выхода.;0
БПТПГ ПТГ: снег на площадках обслуживания.;0
В б.боксе шпильки фланцевых соединений ЗРА 14 имеют запас прочности по резьбе менее одного витка.;0
В БВС слесарной мастерской на обогревателе рабочие перчатки, одежда.;0
В боксах 1-14 стоянки легковых авто, требуется заменить 8 ламп.;0
В вагон-складе электромонтеров обнаружена непригодная спецодежда;0
В венткамере БППП, перегорела лампа, не достаточно освещение;0
В здании УМВ в помещении доочистки воды не заземлен насос для промывки фильтров Grunfos NB 32.;0
В здании УМВ в помывочном цеху не работает вытяжная вентиляция.;0
В здании УМВ, в помещении комнаты мастеров электророзетка (16А ) соскочила с посадочного кабельного канала.;0
В здании УМВ, у входа №2, загроможден проход посторонними предметами.;0
В инструментальном шкафу КИП не расклинена рукоятка молотка.;0
в кабинете 19 АБК ф.ЯРЭУ загроможден проход приборами, полученными после проведения очередной поверки.;0
В комнате для курения коммутационная аппаратура в щитке управления обогревателями работает не корректно. Происходит залипание или не срабатывание пускателей, что может привести к перегреву и оплавлению аппаратуры.;0
В комплекте инструментов насосной станции хозяйственно-питьевого, производственного и противопожарного водоснабжения ГП-1С ключ гаечный 22х24 имеет скол рабочей поверхности;0
В компресорной КИПиА возле ВК-1 розлив масла (ЛВЖ).;0
В котельной недостаточное освещение рабочего места.;0
В мастерской УТОБТДА в сборочном участке маслянные пятна под спч АДКГ-9;0
В мастерской УТОБТДА возле токарных станков разбросана стружка;0
В мастерской УТОБТДА на УШМ повреждена бирка с датой следующей проверки;0
В мастерской УТОБТДА над сверлильным станком отсутствует свет, по причине перегорания лампы;0
В мастерской УТОБТДА не закрывается дверь по причине намерзания наледи;0
В месте хранения инструмента общего пользования, обнаружен молоток с треснувшей рукоятью.;0
"В мужском туалете на 4-м этаже АЦ корп. ""В"" разрушено напольное покрытие (плитка).";0
В Н.М. подтёки масла на станине Н - 1/23.;0
В насосной п. 337 плохо читаема технологическая схема.;0
"В насосной ГСМ нет маркировки ""Открыто-Зкрыто"" на ЗРА №66";0
В насосной хозяйственно-пожарного водоснабжения заклинила стрелка манометра МП3-У на отметке 1,8 кгс/см2, открытие и закрытие трехходового крана положение стрелки не меняет.;0
В отсеке маслоагрегатов поврежден заземляющий провод двигателя откачивающего насоса маслобака.;0
В помещение мастерской МРУ на тисках ослабло крепление губок;0
В помещении № 101 УОГ ДКС посторонние предметы .;0
В помещении аэротенков не работают 4 светильника, недостаточное освещение рабочей зоны.;0
В помещении выездных бригад частично отсутствует освещение.;0
В помещении ЗАТПГ мелкий мусор ( перья от веника);0
В помещении лаборатории физической химии на просушивающем устройстве обнаружена химическая посуда со сколами. Работники лаборатории могут пораниться при использовании посуды со сколами/трещинами.;0
В помещении мастерской МРУ обнаружено ослабленное крепление защитного заземления фрезерного станка.;0
В помещении оператора ПАГЗ недостаточное освещение рабочего места.;0
В помещении ПЭБа (п.324) у входных дверей частично нарушены полосы противоскольжения.;0
В приточной вентиляционной камере ЦРД посторонние предметы (огарки, шпилька).;0
"В ПРМ на штурвалах задвижек по направлениям метанола скв.№ 955 № 927, № 930, слабо видно  указатель напрвление вращения "" Открыто"" ""Закрыто""";0
В производственном цехе в раздевалке не работает светильник.;0
В процессе проверки путей передвижения работников в зданиях, сооружениях и помещениях на территории базы УМС, при входе в здание ЛЭС, выявлено ослабление крепления ручки на двери;0
В рабочих кабинетах третьего этажа Административного здания МСЧ по ул.Таёжная, 32А 10января составляет 15-17градусов. Данный температурный режим не соответствует нормам и повышает риск возникновения простудных заболеваний у сотрудников (в основном женщины) при сидячем режиме работы за компьютерами.;0
В районе б/б насосной ДЭГа и метанола погнут сигнальный флажок трубопровода.;0
В результате обхода основного и вспомогательного оборудования ДКС обнаружено не надлежащее состояние лотка кабельного плана поз. 302.1;0
В сборочном участке мастерской УТОБТДА лежит промасленная ветошь;0
В слесарной мастерской РММ хранится стремянка со сломаной ступеней.;0
В стояночном боксе автобусов(профилакторий), у лестницы запасного выхода отсутствует информационная табличка, держатся за перила.;0
В теплой стоянке спец. техники базы РЭЦ не горит лампа светильника аварийного выхода.;0
В ТКПГ в районе С-1/3, недостаточная освещённость рабочего места.(не горит лампа ).;0
В ТКПГ негерметична мягкая вставка на В-6/1.;0
В ТКПГ, в районе А-1/1, не работает лампа освещения.;0
В умывальнике общественного туалета второго этажа тусклое освещение ввиду перегоревшей одной из ламп дневного света .;0
В УОГ на стойке КИП С1.6 расколотый пластиковый барашек ВИ-15 - острые края.;0
В УОГ С1/1 шпильки фланцевых соединений ЗРА 1.15 имеют запас прочности по резьбе менее одного витка.;0
В УОК ЗРА 14 свечной линии шпильки фланцевых соединений имеют запас прочности по резьбе менее одного витка.;0
В УРДиМ На АР-401/1 ослаблен хомут на дренажной линии.;0
"В ходе выполнения обхода основного и вспомогательного оборудования ДКС обнаружено не надлежащее крепление таблички "" Категория взрывопожарной и пожарной безопасности "" поз.324";0
В ходе выполнения обхода основного и вспомогательного оборудования ДКС обнаружено плохое крепление черенка к лопате в ящике с песком поз.301;0
В ходе проверки помещения мастерской МРУ выяснилось, что загрязнен агрегат фильтрующий для отсоса и улавливания пыли на заточном станке.;0
В ходе проверки помещения мастерской МРУ выяснилось, что загрязнен агрегат фильтрующий для отсоса и улавливания пыли на заточном станке.;0
В ЦПГ между БТДА 1/3 и БТДА 1/4 недостаточное освещение.;0
В ЦПГ на БТДА 1/2 затерлась бирка на маслоемкости со стороны турбины.;0
В ЦПГ на емкости Е-1, пропуски по фланцевому соединению.;0
В ЦРД возле Н5А1 лужа воды.;0
В ЦРМ, на Н-7а/2, сорвана пломба на фланцевом соединении нагнетательного трубопровода.;0
В шкафах управления приточной вентиляции поз.33 отсутствует маркировка ПЧ П1, ПЧ П2.;0
В эл.цехе недостаточное освещение рабочего места;0
Вент камера в ЗПА не достаточное освещение;0
Вент.камера ПЭБ (заносы снега);0
Ветошь на полу в галерее тех.корпуса.;0
Вецвели информационные таблички и знаки безопасности на входе в маслохохяйство КЦ №1.;0
Возле насоса Н-3-1 посторонние предметы (набивка, ключ).;0
Восстновление целостности ЛКП на трубопроводе в районе КРУ-1,3.;0
ВХ 2 посторонние предметы в помещении(металлолом);0
ВХ 5 посторонний предмет. (шланг в вент камере);0
ВХ3 отсутствие на двери информационной таблички.(отклеелась);0
ВХ5 пустая бочка из под краски;0
Вход в АБК заметён снегом.;0
Вход в БППП засыпан снегом.;0
Вход в РММ. Отсутствует наружное освещение.;0
Вход ЦРД не исправен доводчик двери.;0
Въездные ворота на территорию УМС занесены снегом, проезд затруднён;0
Выдавило опору трубопровода возле МКЦ-1.;0
Высота до первой ступени от земли более 35 см.на двух лестницах лестничной площадки технологического отсека МКУ-510.;0
Выступ из-под снега металлического элемента возле скважины 505.7.;0
Выходные вентиляционные дефлекторы КНС №1 ЛЭС забиты снежным покровам, отсутствует приток и вятжка помещения КНС. Возможно пониженное количество кислорода в помещении.;0
"Выцвел знак ""Пожарная лестница"" на пожарной лестнице печей огневой регенерации метанола";0
Выцвела информационная табличка на блок-боксе ЭХЗ КГС №114 УКПГ-1С.;0
Вышел из строя светильник, освещавший схему движения АТС по территории производственной базы УТТиСТ в п. Новозаполярный;0
Вышел срок годности на фильтра, изолирующего противогаза ИП-4м в шкафу аварийного запаса у входа в ЦПГ.;0
Выявлено на полу скопление песка в коридорах и кабинетах здания АБК поз.9.18.;0
Выявлено подклинивание доводчика входной двери здания АБК МРУ поз. 9.18;0
Вьездные ворота ЗПА занесенны снегом.;0
Газопровод - шлейф 307. ПК 05+42 метанолопровод в непроектном положении.;0
Газопровод - шлейф 313. Метанолопровод ПК 26+10 - непроектное пложение.;0
Галерея раздевалка 2 этаж , перегорело аварийное освещение.;0
"Главный щит управления. Выгорел знак световое табло ""Выход"" над дверью эвакуционного выхода";0
ГПА 726. Нет освещения в тамбур шлюзе ОН.;0
ГПА №622 отсутствует аварийное освещение в ОН.;0
ГПА №626 не достаточное освещение в ОН.;0
ГПА №721 нет освещения тамбур-шлюз ОН.;0
ГПА-117В неисправность работы доводчиков дверей ангара;0
ГПА-513 недостаточно освещён отсек автоматики ,не работает аварийное освещение.;0
ГПУ № 211 БМА: отсутствует освещение в блоке.;0
ГПУ № 2116 частично отсутствует освещение отсека двигателя.;0
ГПУ № 213: Отсутствует освещение в пож.модуле.;0
ГПУ- № 215 вышел из строя замок двери пож. модуля.;0
ГПУ-215 низкий уровень масла МБД.;0
Гребенка по приему метанола Дэга занесена снегом.;0
"ГРС ""Аэропорт"" засыпало снегом въездные ворота.После очистки территории ЛЭС от снега не посыпанные дорожки песком.";0
ГТУ №8. Повреждена алюминевая изоляция трубопровода маслоснабжения переднего подшипника генератора;0
ГТЭС-15 ОБУ, главный вход, тамбур, не горит светильник аварийного освещения. Помещение вент.установки ВЕЗА, не горит светильник аварийного освещения;0
ГТЭС-15, ПГ №3, светильник занесен снегом, не работает освещение гидранта;0
ГТЭС-15, ТМБ, комната приема пищи, неисправность смесителя, не полное закрытие кран-буксы горячей воды.;0
ГТЭС-15. После очистки техникой территории от снега, отсутствует обработка путей передвижения персонала противогололедными реагентами;0
ГТЭС-15: Неисправен замок входной двери теплого склада (заклинивание);0
ГТЭС-22,5, на удлинителе №15 неисправна (треснул корпус) вилка включения в сеть.;0
ГТЭС-22,5, УЧЗН№1,2 - требуется очистка от снега путей передвижения.;0
ГТЭС-22,5. Занесено снегом каре склада ГСМ.;0
ГТЭС-22,5: Аварийный выход электроустановки 50РП-6, отсутствует диспетчерское наименование (50РП-6).;0
ГТЭС-24, БФТГ№2, перегорела лампа освещения.;0
ГТЭС-24, Г-2, Аккумуляторная неисправно рабочее освещение.;0
ГТЭС-24, диэлектрические перчатки №39 (БЭТ-1), №73 (БЭТ-2), №74 (БЭТ-3) срок испытания заканчивается 26.01.2023.;0
"ГТЭС-24, ДЭС№1 на лестнице ветром оторвало знак ""Держитесь за перила""";0
ГТЭС-24, ЗРУ-110кВ, У изолирующих штанг №7334, №7344 срок испытания истекает 14.01.2023.;0
ГТЭС-24, ОРУ 110/6кВ, УЧЗН-1, УЧЗН-2 - требуется очистка снега путей передвижения.;0
"ГТЭС-24, ТМБ, каб.222, отсутствует бирка ""220В"" на розетке";0
ГТЭС-24,ОБУ, необходимо пополнить диспенсер для выдачи берушей.;0
ГТЭС-24,требуется очистка от снега термостабилизаторов;0
ГТЭС-24. Г-1. В отсеке ГТГ не исправна лампа освещения.;0
ГТЭС-24. Узел теплоснабжения ОБУ. На вентиле ВИ1 - бирка с диспетчерским наименованием не читаема.;0
ГТЭС-48 ПУТ Перегорела лампа освещения.;0
ГТЭС-48 ТМБ насосная. Отсутствует обозначения ВКЛЮЧЕНО ОТКЛЮЧЕНО на рубильнике питание крана электрического подвесного.;0
ГТЭС-48, БМО ГТУ-3 - неисправна лампа рабочего освещения.;0
ГТЭС-48, БМО ГТУ-4 неисправность светильника рабочего освещения, требуется замена неисправной лампы освещения.;0
"ГТЭС-48, ЗРУ-110кВ - пришло в негодность диспетчерское наименования ""Яч№3 Т-3""";0
ГТЭС-48, ЗРУ-110кВ - требуется регулировка и смазка замка входной двери.;0
"ГТЭС-48, КРУ-10 ГТУ-3, - отсутствует знак ""заземления"" на заземляющем контуре шкафа сигнализации.";0
ГТЭС-48, НТиМ, насосная - Отсутствует бирка на КЛ от насоса №3 до кнопочного поста.;0
"ГТЭС-48, обновить бирку 48/49 на шуруповёрте ""Зубр""";0
ГТЭС-48, ОБУ 2 этаж, санузел - отсутствует моющее средство.;0
ГТЭС-48, ОБУ 2 этаж, требуется очистка лестничной площадки аварийного выхода.;0
"ГТЭС-48, ОБУ лестничная площадка - требуется замена плаката безопасности ""держаться за поручни"" (пришел в негодность)";0
"ГТЭС-48, ОБУ, коридор 1 этажа, кнопочный пост клапана приточной вентиляции. Отсутствие знака безопасности ""Осторожно напряжение""";0
ГТЭС-48, ОРУ 110/10кВ, ОРУ110/6кВ - требуется очистка снега путей передвижения.;0
ГТЭС-48, ОРУ-110/10, ОРУ-110/6 требуется очистка путей передвижения от снега.;0
ГТЭС-48, ОРУ-110/10кВ - требуется отчистка от снега площадок, путей передвижения.;0
ГТЭС-48. КНС-2, ШС - не читаемо диспетчерское наименование.;0
ГТЭС-48. КПП. Заедает замок входной двери в тепловой пункт.;0
ГТЭС-48. Не читаема табличка с указание тех.позиции КШ-14.8 на ГТУ-2.;0
"ГТЭС-48. НТиМ. Центральный вход. Сломан знак ""Держитесь за поручни"".";0
ГТЭС-48. Отсутствуют моющие средства в комнате приема пищи ОБУ.;0
ГТЭС-48. Перегоревшая лампа в тамбуре БМО №2.;0
ГТЭС-48. Склад ЗиП. Пути передвижения не посыпаны песком.;0
ГТЭС-48. ТМБ. Помещение насосной. Недостаточная освещенность.;0
ГТЭС-48. Требуется очистка маршевой лестницы теплового пункта №4.;0
ГТЭС-48. ЭБ-4. Отсутствуют стрелки направления вращения на вентиле БП-2.13;0
ГТЭС-48. ЭМ №1. Не в полном объёме очищена площадка выкатки ГТД ЭБ №1;0
ГТЭС-48. ЭМ-1. Дренажный насос №2. Отсутствует знак заземление.;0
ГТЭС-48. ЭМ-1. Перегорела лампа освещения под КШТ ГТУ-2.;0
Дверь в холодный склад мастерской УТОБТДА заметена снегом;0
Дверь на площадку эвакуационной лестницы второго этажа здания ПЭБ ДКС-1В 1 оч. открывается не полностью, т.к. площадка занесена снегом. Требуется очистить от снега лестницу и площадку;0
Деформация основания одной из пожарных лопат расположенных в складском помещении УМС.;0
Дизельная электростанция ДЭС-200. Места сварки стойки трубы УГП не закреплен;0
Дизельная электростанция ДЭС-500. Выцветание кабельные бирки на оборудовании пожарной сигнализации.;0
ДКС УП №-1 Недостаточное освещение в помещении узла.;0
Доводчик в здание БВП не плотно закрывает дверь.;0
Допускается хранение не задействованных плакатов и знаков электробезопасности в ЦДиМ.;0
Допускается хранение не задействованных плакатов и знаков электробезопасности в ЦРД.;0
Допускается хранение не задействованных плактов и знаков электробезопасности в УПТ.;0
Дорожка от проходной до БППП занесена снегом.;0
Дублирующиеся инфопмационные таблички на входе в помещение;0
ДЭС-3. Подтеки охлаждающей с ДВС.;0
Е-8ар\3 - Посторонние предметы после работы строительной организации(металл,древесина);0
ЕП - 103\2 - Снег на путях передвижения.;0
ЕП- 103\1 - Снег на путях передвижения.;0
Забиты снегом воздухозаборные решётки СВО - 400.;0
Забиты снегом, не читаются таблички - Опасность ПТПГ 30.;0
Завалены снегом ворота №4-5 на склад;0
Зависание монитора УПИ АСПТ КЦ-2.;0
Загромождён вход в АСППТ (сани);0
Загроможден посторонними предметами эвакуационный выход со 2 этажа БППП ( пульт );0
Загрязнена и в пыли поверхность приточной вентиляции П3-1;0
Загрязнена поверхность пола в помещении насосной маслохозяйства.;0
Загрязнение ЗРА Д-206.1.;0
Загрязнение и пыль на поверхности П3-1;0
Загрязнение и пыль на поверхности приточно-вытяжной вентиляции П2-1;0
Загрязненность , ржавчина на корпусе фильтра Ф-401-1;0
Загрязненность поверхности пола в переходной галерее ЦПГ;0
Загрязненность пола в ЗПА.;0
Загрязнённые полы в ангаре ГПА№914.;0
Замело снегом проход к помещению.;0
Замерз патрубок слива конденсата дымовых газов ПТПГ-30 Поз.№2.;0
Заметен аварийный выход из галереии ППА. При аварийной ситуации нет возможности экстренно покинуть галерею.;0
Заметен аварийный выход из ППА. Нет возможности открыть дверь при аварийной ситуации.;0
Заметен запасной выход из насосной метанола;0
Заметен запасной выход с насосной метанола (УППГ-3В);0
Заметен подход в компрессорную воздуха КИПиА;0
Заметен подход в компрессорную воздуха КИПиА;0
Заметен подход к Е-4;0
Заметен подход к Е-8;0
Заметен подход к запасному выходу из арматурного блока печей П-1;0
Заметен подход к запасному выходу со 2 эт. БППП (УППГ-3В);0
