Message;Real_Risk
ЦПГ. Не достаточное освещение модуля абсорбера А1/2.;0
"Наледь на пути следования ""проходная - БППП"" (УППГ-3В)";0
Недостаточное освещение в помещении №102 УОГ.;0
Снег на ступенях лестницы запасного выхода со 2 этажа БППП (УППГ-3В);0
Протечка крана холодной воды в умывальнике СЭБ (2-й этаж).;1
Неисправен шаровый кран подачи водоснабжения БППП;1
Не исправна ручка двери в тамбур-шлюз ТКДМ.;1
В ЦРД возле Н5А1 лужа воды.;1
Обледенение путей передвижения по маршруту обхода на УППГ. Риск травмирования работника.;1
ЦРМ пустой огнетушитель нва крыше;1
Не исправен доводчик двери в переходной галлерее БППП;1
"РММ. После привоза нового оборудования, осуществлена распаковка ""Блок непрерывного дозирования реагентов"". Большое скопление упаковочного материала на выходе из РММ.";1
После чистки снега трактором, на входе в АБК образовался гололед. Риск падения человека на скользкой поверхности.;1
Наличие посторонних предметов (ветош, мусор) в блок-боксе ПКУ.;1
Произведена проверка инструмента монтёров ЭХЗ. Выявлен инструмент с просроченной датой проверки.;0
Свисание снега на козырьке пожарного выхода ЦРМ;1
После проверки электроинструментов, выявлена одна болгарка с деформированным кожухом. Риск получения травмы во время работы болгаркой из-за вероятности закусывания отрезного диска и вылетом осколка.;0
У работников РММ на хранении выявлены 2 каски с просроченным сроком возможности эксплуатации.;0
Проведена проверка аптечек в кабинетах здания РММ. Выявлена одна разукомплектованная аптечка. Необходима замена аптечки.;0
Наледь на лестничном переходе к узлу подключения КЦ-2;0
Наличие загрязнений и пыли на приемной сетке вытяжной вентиляционной системы В-1 БВС;0
Образование наледи на подходах к маршрутным лестницам со стороны Цеха подготовки газа 1 очереди;0
Не исправен доводчик двери МКЦ №1;0
Нарушение герметичности, утечки во фланцевом соединении вакуумной линии;0
Отложение пыли и грязи на решетках В-5;0
Низкий уровень масла в картерах подшипников Н-20/1;0
Утечка жидкости по сальниковому уплотнению насоса Н-9;1
Подтеки масла в ОН ГПУ №211;0
В мастерской УТОБТДА в сборочном участке маслянные пятна под спч АДКГ-9;1
Не читаются надписи на кнопках включения АВВ входа №2 и №3 УОГ;1
Нет маркировки выключателя освещения лестничной площадки входа№-1 ЦРД;0
Обледенение путей передвижения от АБК до БППП.;0
Утечка по фланцевому соединению трубопровода горячего воздуха обогрева отсека двигателя ГПУ-215.;0
На месте хранения дежурного слесарного инвенторя в ПЭБеобнаружен сломанный рожковый ключ.;0
Перегорела лампа аварийного освещения на первом этаже БППП.;0
"Наледь на пути ""БППП - ППГ"" (УППГ-3В)";0
Сломана лопата (УППГ-3В);0
Отсутствует пломба на фланцевых соединениях нагнетательного трубопровода, нососа метанола Н1-11.;0
ГТЭС-24,требуется очистка от снега термостабилизаторов;0
Хорвутинский купол. УКЗ №4, ВЛ 48 ЭХЗ, обрыв вязки опоры №8.;1
Харвутинский купол. УКЗ №17. Просели створки входных дверей на станцию. Для открытия требуется приложить усилия.;0
УМС. Наличие снега и наледи на путях передвижения.Пыль на поверхности клемных коробок и электрооборудовании КИПиСА;1
Скользкая поверхность путей передвижения работников по территории УКПГ-1В. Не посыпаны песком пути передвижения по ГП и ДКС, а также место высадки пассажиров.;0
Деформация основания одной из пожарных лопат расположенных в складском помещении УМС.;0
Помещение УМС. В рабочей зоне находится переносная катушка-удлинитель с явными признаками повреждения провода у основания вилки. При дальнейшем использовании не исключена вероятность КЗ;0
ВПС, наледь на лестничных маршах печей регенерации.;0
ЦСГ-3, отсутствует часть о кожушки труб системы отопления в цехе.;0
Занесена снегом информационная табличка При передвижении по лестнице держись за перила в районе отсека автоматики;0
Б/Б насосная ГСМ АВВ повреждено заземление электродвигателя;0
Не очищены от снега, наледи площадки передвижения парка Дэга и Метанола;1
Посторонние предметы(ведро) по маршруту обхода;0
поз.19 30Е1/2 не регулируется воздух КИП на клапане-регуляторе (газ/выветр.);0
Занесены снегом подходы к складу ГСМ, б/б ГСМ, б/б ДЭГа и метанола.;0
Несоответствие информационных показаний средств КИПиА - температура наружнего воздуха на УОГ.;0
Ослаблено болтовое соединение на защитной решетке вентелятора АВО газа №6, секция №5.;1
Недостаточное освещение в БМА ГПА №626.;0
Занесены снегом подходы к площадкам обслуживания кранов узла подключения КЦ-2.;0
"Не горит фонарь ""Автоматика отключена"" при открытой двери блока двигателя ГПА №621.";0
Площадка обслуживания БЕ-501-1 наледь на ступеньках подьема на площадку;0
Снег на ступенях лестницы ГПА №726;0
Заметен подход к КНС поз 83.;0
Снег на площадках выходов позиций 1,2 со стороны галереи;0
Заметена лестница поз 83 со стороны СЭБа;0
