Message;Real Risk
 В инструментальном ящике обнаружена отвертка со сколами на рукоятке;Низкий
"""зажаты"" шторки забора воздуха.Приточная вентиляция . Технолгиеский корпус";Низкий
"1. Отсутствует освещение в тамбуре перед входом в помещение каналов АСУТП здания ЦПГ 2оч.
2. Неисправно освещение внутри помещения (не горят две лампы).";Низкий
"1.Занесены снегом подходы к ГПА № 721,722 КЦ-2. 
2.Повреждено защитное ограждение тонельной лесницы напротив крана 31.2 КЦ-2.
3.Заметены снегом проходы к лестницам ГПА 713 КЦ-1.";Низкий
"11.01.2023 г. было выявлено, что козырек над дверью входной группы здания Склада ИТЦ (бывшее здание УКиСР) был поврежден под тяжестью снега (провис металлический лист козырька). Риск травмирования работников вследствии падения снега и наледи (опасный фактор). Была сделана заявка коменданту СЭ №2 об устранении потенциального происшествия (далее ПП). ПП не устранили.
21.01.2023 г. было выявлено, что во время метели металлический лист был сорван с козырька над крыльцом входной группы здания Склада ИТЦ.";Средний
"11.01.2023 г. при осуществлении обхода инспекторским составом ООЗИ ф. СКЗ защищаемых объектов Общества было выявлено замечание: 
- на объекте Спортивно-оздоровительный комплекс на крыше здания между контурами № 5 и № 8 имеется провисание снега, возможен неконтролируемый сход снега. В связи с этим повышается риск получения травм у работников ООЗИ осуществляющих внешний обход данного объекта согласно маршрута обхода.";Средний
"14.01.2023 г. при осуществлении внешнего обхода объекта «Спортивно-оздоровительный комплекс г. Новый Уренгой», инспекторским составом ООЗИ г. Новый Уренгой было выявлено замечание:
- на площадке и лестничном марше контура №10 (контур для осуществления погрузо-разгрузочный работ) и контура № 15 (эвакуационный выход тир, вход в ПРУ со стороны ГБУЗ ЯНАО «Новоуренгойская центральная городская больница») не производится чистка снега и посыпание песком или противоскользящим материалом. В связи этим данная ситуация затрудняет осуществление внешнего обхода и увеличивает риски получение травм у работников ООЗИ г. Новый Уренгой и работников Общества, осуществляющих служебные обязанности на данном объекте.";Средний
"14.01.2023 при осуществлении обхода инспекторским составом ООЗИ г. Новый Уренгой на данном объекте Административное здание с поликлиникой 
ул. Таежная 32Абыло выявлено следующее замечание:
- тротуарная дорожка за Административным зданием, со стороны ТЦ «Грин Парк», заметена снегом, осуществление внешнего обхода затруднено, в связи с большим скоплением снега и отсутствием обработки противоскользящим материалом.
Обход инспекторским составом производится по дорожному полотну между зданиями Административное здание с поликлиникой и ТЦ «Грин Парк» что увеличивает риски получения травм инспекторского состава ООЗИ г. Новый Уренгой ф. СКЗ осуществляющих служебные обязанности на данном объекте во время рабочей смены";Средний
"2.1.1 (ЦСГ-1) - Наносы снега на стабилизаторах пластично-мерзлых грунтов
2.1.3 (ЦСГ-1) - Свисание снега и наледи на козырьках крыш 
2.1.5 (ЦСГ-2) - Снег и наледь на пути передвижения";Средний
2.1.3 (ЦСГ-1) Свисание наледи на козырьках и трубопроводах на пути следования маршрута обхода;Средний
2.1.3 Наледь на крыше ЦПГ;Средний
2.1.3 Снег и наледь на козырьках и свисание их с крыш.;Средний
2.1.3 Снег и наледь на козырьке насосной ГСМ.;Средний
"2.1.5 (ЗПА) - Наледь на входной лестнице
2.1.6 (ЗПА) - Не посыпан подход к лестнице
2.2.6 (ЦСГ) - Влажный пол между С-1/2 и С-1/3";Средний
"2.1.5 (ЦПГр)- Наличие снега на путях передвижения и на площадках отсутствия 
3.5.2 (ЦПГр)- Пыль на поверхностях воздуховодах и вентиляторах В-5";Низкий
"20.02.2023 г. при осуществлении внешнего обхода объекта «Спортивно-оздоровительный комплекс г. Новый Уренгой», инспекторским составом ООЗИ г. Новый Уренгой было выявлено замечание:
- на лестничном марше контура №13 (эвакуационный выход тир, вход в тепло узел, со стороны магазина «ИНТА») не производится чистка снега и посыпание песком или противоскользящим материалом. В связи этим данная ситуация затрудняет осуществление внешнего обхода и увеличивает риски получение травм у работников ООЗИ г. Новый Уренгой и работников Общества, осуществляющих служебные обязанности на данном объекте.";Средний
2ВЛО-6. Не горит светильник освещения на опоре №5.;Низкий
3.1.5. Низкий уровень маслобака двигателя ГПА-№726.;Низкий
3.2.1 Утечка по фланцевому соединению ГСМ Е-5;Низкий
