Nomer;Massage
20365;ЦПГ. Не достаточное освещение модуля абсорбера А1/2.
20366;"Наледь на пути следования ""проходная - БППП"" (УППГ-3В)"
20367;Недостаточное освещение в помещении №102 УОГ.
20368;Снег на ступенях лестницы запасного выхода со 2 этажа БППП (УППГ-3В)
20369;Протечка крана холодной воды в умывальнике СЭБ (2-й этаж).
20370;Неисправен шаровый кран подачи водоснабжения БППП
20371;Не исправна ручка двери в тамбур-шлюз ТКДМ.
20372;В ЦРД возле Н5А1 лужа воды.
20373;Обледенение путей передвижения по маршруту обхода на УППГ. Риск травмирования работника.
20374;ЦРМ пустой огнетушитель нва крыше
20375;Не исправен доводчик двери в переходной галлерее БППП
20376;"РММ. После привоза нового оборудования, осуществлена распаковка ""Блок непрерывного дозирования реагентов"". Большое скопление упаковочного материала на выходе из РММ."
20377;После чистки снега трактором, на входе в АБК образовался гололед. Риск падения человека на скользкой поверхности.
20378;Наличие посторонних предметов (ветош, мусор) в блок-боксе ПКУ. 
20379;Произведена проверка инструмента монтёров ЭХЗ. Выявлен инструмент с просроченной датой проверки. 
20380;Свисание снега на козырьке пожарного выхода ЦРМ
20381;После проверки электроинструментов, выявлена одна болгарка с деформированным кожухом. Риск получения травмы во время работы болгаркой из-за вероятности закусывания отрезного диска и вылетом осколка.
20382;У работников РММ на хранении выявлены 2 каски с просроченным сроком возможности эксплуатации. 
20383;Проведена проверка аптечек в кабинетах здания РММ. Выявлена одна разукомплектованная аптечка. Необходима замена аптечки.
20384;Наледь на лестничном переходе к узлу подключения КЦ-2
20385;Наличие загрязнений и пыли на приемной сетке вытяжной вентиляционной системы В-1 БВС
20386;Образование наледи на подходах к маршрутным лестницам со стороны Цеха подготовки газа 1 очереди
20387;Не исправен доводчик двери МКЦ №1
20388;Нарушение герметичности, утечки во фланцевом соединении вакуумной линии
20389;Отложение пыли и грязи на решетках В-5
20390;Низкий уровень масла в картерах подшипников Н-20/1
20391;Утечка жидкости по сальниковому уплотнению насоса Н-9
20392;Подтеки масла в ОН ГПУ №211
20393;В мастерской УТОБТДА в сборочном участке маслянные пятна под спч АДКГ-9
20394;Не читаются надписи на кнопках включения АВВ входа №2 и №3 УОГ
20395;Нет маркировки выключателя освещения лестничной площадки входа№-1 ЦРД
20396;Обледенение путей передвижения от АБК до БППП.
20397;Утечка по фланцевому соединению трубопровода горячего воздуха обогрева отсека двигателя ГПУ-215.
20398;"На месте хранения дежурного слесарного инвенторя в ПЭБе
обнаружен сломанный рожковый ключ."
20399;Перегорела лампа аварийного освещения на первом этаже БППП.
20400;"Наледь на пути ""БППП - ППГ"" (УППГ-3В)"
20401;Сломана лопата (УППГ-3В)
20402;Отсутствует пломба на фланцевых соединениях нагнетательного трубопровода, нососа метанола Н1-11.
20403;ГТЭС-24,требуется очистка от снега термостабилизаторов
20404;Хорвутинский купол. УКЗ №4, ВЛ 48 ЭХЗ, обрыв вязки опоры №8. 
20405;Харвутинский купол. УКЗ №17. Просели створки входных дверей на станцию. Для открытия требуется приложить усилия.
20406;"УМС. Наличие снега и наледи на путях передвижения.
Пыль на поверхности клемных коробок и электрооборудовании КИПиСА"
20407;"Скользкая поверхность путей передвижения работников по территории УКПГ-1В. 
Не посыпаны песком пути передвижения по ГП и ДКС, а также место высадки пассажиров."
20408;Деформация основания одной из пожарных лопат расположенных в складском помещении УМС.
20409;Помещение УМС. В рабочей зоне находится переносная катушка-удлинитель с явными признаками повреждения провода у основания вилки. При дальнейшем использовании не исключена вероятность КЗ
20410;ВПС, наледь на лестничных маршах печей регенерации.
20411;ЦСГ-3, отсутствует часть о кожушки труб системы отопления в цехе.
20412;Занесена снегом информационная табличка При передвижении по лестнице держись за перила в районе отсека автоматики
20413;Б/Б насосная ГСМ АВВ повреждено заземление электродвигателя
20414;Не очищены от снега, наледи площадки передвижения парка Дэга и Метанола
20415;Посторонние предметы(ведро) по маршруту обхода
20416;поз.19  30Е1/2 не регулируется воздух КИП на клапане-регуляторе (газ/выветр.)
20417;Занесены снегом подходы к складу ГСМ, б/б ГСМ, б/б ДЭГа и метанола.
20418;Несоответствие информационных показаний средств КИПиА - температура наружнего воздуха на УОГ.
20419;Ослаблено болтовое соединение на защитной решетке вентелятора АВО газа №6, секция №5.
20420;Недостаточное освещение в БМА ГПА №626. 
20421;Занесены снегом подходы к площадкам обслуживания кранов узла подключения КЦ-2.
20422;"Не горит фонарь ""Автоматика отключена"" при открытой двери блока двигателя ГПА №621."
20423;Площадка обслуживания БЕ-501-1 наледь на ступеньках подьема на площадку
20424;Снег на ступенях лестницы ГПА №726
20425;Заметен подход к КНС поз 83.
20426;Снег на площадках выходов позиций 1,2 со стороны галереи 
20427;Заметена лестница поз 83 со стороны СЭБа
20428;Не очищены от снега подходы к столбикам заземления пожарной техники возле дизельных электростанций.
20429;Нарушена взрывозащита на светильнике №6 позиция 27. (Трещина на стекле)
20430;В шкафах управления приточной вентиляции поз.33 отсутствует маркировка ПЧ П1, ПЧ П2.
20431;Засохшие валики в камере ВХ4
20432;Недостаточное освещение на модуле арм бл 2 (К1.2)
20433;Подтёки масла на насосе Н6-2 в насосной метанола
20434;Наледь на козырьках СВО,ГПА№911-913.
20435;Провис защитного металлорукава на кабеле (кран №9 ГПА-122) 
20436;Обледенение козырька ДЭС-3,4.
20437;В мастерской УТОБТДА над сверлильным станком отсутствует свет, по причине перегорания лампы
20438;Засыпаны снегом привода кранов обвязки ЦБН
20439;ГТЭС-48. ЭМ №1. Не в полном объёме очищена площадка выкатки ГТД ЭБ №1
20440;Трещины на раструбе огнетушителя в отсеке двигателя ГПА-221.
20441;Промаслянные пятна на маслобаке компрессора ГПА№913
20442;ЦРД 2й этаж, проход между И-1/2 и И-1/3 посторонние предметы (металлические пластины)
20443;Обледенение путей передвижения от БППП до БВП.
20444;Перегорела лампа освещения на пульту БППП (УППГ-3В)
20445;Наледь на ступенях входа в БППП (УППГ-3В)
20446;Отсутствует пломба на фланцевых соединениях трубопровода нагнетания, насоса Н1-23 в насосной.
20447;Поврежден хомут крепления огнетушителя в здании АБК МРУ.
20448;Обледенение ступеней площадки входа в операторную,галерею ППА и УЗГ. 
20449;УЭМПГиГРС, снег на подходах к пожарным гидрантам. 
20450;"АГРС ""Промбаза"", б/б БТПГ, б/б редуцир. Наличие наносов снега на кабельной эстакаде. Наличие снега с наледью на козырьке и свисание их с крыши. При потеплении не исключена вероятность падения снега со льдом на подходные пути работников."
20451;РММ (курилка). Необходима замена шланга у огнетушителя, присутствует внешний дефект
20452;В вагон-складе электромонтеров вышла из строя одна секция освещения., на левой стороне верхних полок стеллажа хаотично лежит инвентарь выпирая за границы полок, риск получения травмы персонала в следствии недостаточного освещения при прохождении между стеллажами. 
20453;В вагон-складе электромонтеров обнаружена непригодная спецодежда
20454;ЦРД Н6/2 трубопровод входа воды не закреплен крепежным хомутом
20455;ЦРД тамбур-шлюз не горит аварийное освещение
20456;К подходам АБК следует дополнить противоскользящий материал, имеются пробелы наледи на проходных путях. 
20457;Сломана ручка управления воздушной заслонки на вентиляционной шахте обогрева ангара ГПА №-912.
20458;Цех основного производства (поз.2).  Наледь на маршевой лестнице глваного входа.
20459;Площадка переключающей арматуры  (поз.30). Занесена снегом площадка.
20460;СЭБ (поз.34) - Ослабнение крепления перилл на маршевой лестнице.
20461;Поз.19 (Фильтр тонкой очистки 20Ф1/4). Повреждение  бирки с нумерацией на ЗРА.
20462;Поз.19 (Фильтр тонкой очистки 20Ф1/2). Повреждение  маркера-указателя с направлением движениря среды.
20463;"Отсутствует табличка ""НЕ ОТКРЫВАТЬ"" на кране №1 ГПА№626 (ГПА в ремонте). "
20464;Нет освещения во всаскамере ГПА №612.
20466;Недостаточное освещение на выходе со слесарной мастерской.
20467;Отсутствует знак безопасности на входе в ГПА№911.
20468;Не обработаны пути передвижения по территории обхода антигололедным средством
20469;"Отсутствует надпись направления вращения ""открыта-закрыта"",крана 13р, ГПА№913"
20470;Не исправен доводчик двери в тамбур ГПА№916.
20471;"Повреждена табличка ""выход"" в тамбуре ГПА№912"
20472;Занесён подход снегом  кранового узла первый группы ДКС.
20473;Занесены снегом площадки обслуживания ГПА
20474;Отсутствует табличка на кр.№2 ГПА №714
20475;Загрязнена и в пыли поверхность приточной вентиляции П3-1 
20476;Утеряна табличка с параметрами, сроками службы, НВО, ГИ теплообменника Т-1р/1
20477;Посторонние предметы в венткамере Цеха регенерации метанола.
20478;Наносы снега на стабилизаторах пластично-мерзлых грунтов со стороны ЦПГ-1 очереди.
20479;Наледь на козырьке выхода с р1а на АВО
20480;Течь теплоносителя в месте установки термометра в обратном контуре системы П-1/2 в помещении приточной венкамеры №1 цеха сепарации газа №3
20481;Повреждена изоляция на трубопроводе НДЭГА Т3.1
20482;поз.173. Не достаточное освещение внутри помещения.
20483;поз.337. На трубопроводах нет направления движения жидкости.
20484;поз.337. Не подписаны кнопки включения - отключения насосов. 
20485;Наличие снега и наледи на площадке обслуживания П-601
20486;Недостаточное освещение под КШТ, ГПА №714.  
20487;Отсутствует крепежный болт на ЭКМ на линии подпитки
20488;Отсутствие бирки на напоромере на подаче воздуха в котел
20489;Поз.3а   Занесены снегом подходы к газоанализаторам. 
20490;Лёд на входе в ОД ГПУ №214
20491;Снег на лестнице в торце технологического корпуса
20492;Не горит лампа аварийного освещения возле Е-4, Е-8 ТКДМ
20493;Не достаточно освещён ЦПГ не работают 10 светильников.
20494;Перед входными дверями образовался ледяной бугор.На крыше над входными дверями сосульки.
20495;На ступеньках входной лестницы здания БВС образование наледи.
20496;ГТЭС-48. Пути передвижения в районе ЭМ №1 требуют частичной посыпки противогололедным материалом.
20497;"Прослабло уплотнение кабеля на датчике ""температура масла на ПОПН"" ГПА-122"
20498;Повреждена изоляция на трубопроводе топливного газа на горелки ПТПГ-30.
