ФИО аудитора ПАБ;Должность (профессия) аудитора ПАБ;Дата проведения ПАБ;Стаж аудитора ПАБ в занимаемой должности (профессии), лет;Возраст аудитора ПАБ, лет;Продолжительность междувахтового отдыха аудитора ПАБ, предшествующего вахте (в днях);Продолжительность вахты аудитора ПАБ, дней;Нахождение на рабочей вахте аудитора ПАБ после прилёта в день проведения ПАБ (в днях);ФИО_работника;Профессия_работника;Стаж_работника;Стаж_категории;Возраст_работника;Возраст_категории;Продолжительность_вахты;Продолжительность_междувахтового_отдыха;Балл_анкетирования;Балл_категории;Индекс_массы_тела;Индекс_категории;Адаптационный_потенциал;Адаптационный_потенциал_категории;Нахождение_на_рабочей_вахте;Физическое_утомление;Месяц_ПАБ;Переход_из_ночной_смены;Выход_после_праздника;Количество_выявленных_опасных_действий;;;num
33;8;06.01.2024;20;39;30;30;11;48;2;10;4;34;2;30;30;0;3;26,47;3;2,681;2;22;0;1;0;1;0;;;1
33;8;07.01.2024;20;39;30;30;12;97;2;3;2;26;2;35;30;0;3;21,45;2;2,393;1;31;1;1;0;1;0;;;2
4;2;05.01.2024;7;35;43;34;14;151;2;8;4;32;2;47;31;0;3;20,45;2;2,464;1;42;1;1;0;1;0;;;3
4;2;05.01.2024;7;35;43;34;14;130;2;4;3;30;2;31;30;-3;3;22,88;2;2,508;1;25;0;1;0;1;0;;;4
33;8;06.01.2024;20;39;30;30;11;57;2;4;3;36;3;26;35;5;3;25,5;3;2,668;2;22;0;1;0;1;0;;;5
5;1;09.01.2024;8;53;31;42;35;151;2;8;4;32;2;47;31;0;3;20,45;2;2,464;1;46;1;1;0;1;0;;;6
5;1;09.01.2024;8;53;31;42;35;57;2;4;3;36;3;26;35;5;3;25,5;3;2,668;2;25;0;1;0;1;0;;;7
41;6;10.01.2024;10;50;32;55;39;81;2;23;5;44;3;30;78;-18;2;24,62;2;2,753;2;2;0;1;0;0;0;;;8
41;6;10.01.2024;10;50;32;55;39;172;2;3;2;32;2;30;31;-3;3;32.40;3;2,828;2;10;0;1;0;0;0;;;9
6;2;10.01.2024;8;37;31;39;26;29;7;31;6;55;4;30;31;-8;3;29,83;3;3,06;2;26;1;1;0;0;0;;;10
6;2;10.01.2024;8;37;31;39;26;44;3;23;5;42;3;33;37;3;3;23,2;2;2,671;2;19;0;1;0;0;0;;;11
6;2;11.01.2024;8;37;31;39;27;105;4;13;4;47;4;30;33;1;3;27,7;3;2,885;2;23;0;1;0;0;0;;;12
6;2;11.01.2024;8;37;31;39;27;31;4;21;5;50;4;24;28;7;3;35,8;3;3,17;3;20;0;1;0;0;0;;;13
15;5;11.01.2024;16;53;29;32;28;99;7;5;3;27;2;30;31;-13;2;27,68;3;2,605;2;27;1;1;0;0;0;;;14
