ФИО_аудитора_ПАБ;Должность_(профессия)_аудитора_ПАБ;Дата_проведения_ПАБ;Стаж_аудитора_ПАБ;Возраст_аудитора_ПАБ;Продолжительность_междувахтового_отдыха_аудитора_ПАБ;Продолжительность_вахты аудитора_ПАБ;Время_на_вахте_аудитора_ПАБ;ФИО_работника;Профессия_работника;Стаж_работника;Стаж_категории;Возраст_работника;Возраст_категории;Продолжительность_вахты;Продолжительность_междувахтового_отдыха;Балл_анкетирования;Балл_категории;Индекс_массы_тела;Индекс_категории;Адаптационный_потенциал;Адаптационный_потенциал_категории;Нахождение_на_рабочей_вахте;Физическое_утомление;Месяц_ПАБ;Переход_из_ночной_смены;Выход_после_праздника;Выявленные_опасные_действия
33;8;06.01.2024;20;39;30;30;11;48;2;10;4;34;2;30;30;0;3;26,47;3;2,681;2;22;0;1;0;1;0
33;8;07.01.2024;20;39;30;30;12;97;2;3;2;26;2;35;30;0;3;21,45;2;2,393;1;31;1;1;0;1;0
4;2;05.01.2024;7;35;43;34;14;151;2;8;4;32;2;47;31;0;3;20,45;2;2,464;1;42;1;1;0;1;0
4;2;05.01.2024;7;35;43;34;14;130;2;4;3;30;2;31;30;-3;3;22,88;2;2,508;1;25;0;1;0;1;0
33;8;06.01.2024;20;39;30;30;11;57;2;4;3;36;3;26;35;5;3;25,5;3;2,668;2;22;0;1;0;1;0
5;1;09.01.2024;8;53;31;42;35;151;2;8;4;32;2;47;31;0;3;20,45;2;2,464;1;46;1;1;0;1;0
5;1;09.01.2024;8;53;31;42;35;57;2;4;3;36;3;26;35;5;3;25,5;3;2,668;2;25;0;1;0;1;0
41;6;10.01.2024;10;50;32;55;39;81;2;23;5;44;3;30;78;-18;2;24,62;2;2,753;2;2;0;1;0;0;0
41;6;10.01.2024;10;50;32;55;39;172;2;3;2;32;2;30;31;-3;3;32,4;3;2,828;2;10;0;1;0;0;0
6;2;10.01.2024;8;37;31;39;26;29;7;31;6;55;4;30;31;-8;3;29,83;3;3,06;2;26;1;1;0;0;0
6;2;10.01.2024;8;37;31;39;26;44;3;23;5;42;3;33;37;3;3;23,2;2;2,671;2;19;0;1;0;0;0
6;2;11.01.2024;8;37;31;39;27;105;4;13;4;47;4;30;33;1;3;27,7;3;2,885;2;23;0;1;0;0;0
6;2;11.01.2024;8;37;31;39;27;31;4;21;5;50;4;24;28;7;3;35,8;3;3,17;3;20;0;1;0;0;0
15;5;11.01.2024;16;53;29;32;28;99;7;5;3;27;2;30;31;-13;2;27,68;3;2,605;2;27;1;1;0;0;0
15;5;11.01.2024;16;53;29;32;28;18;7;5;3;29;2;30;31;-3;3;25,8;3;2,603;2;15;0;1;0;0;0
30;5;16.01.2024;16;52;30;32;2;174;7;33;6;55;4;30;32;-23;2;34,02;3;3,168;3;8;0;1;0;0;0
30;5;16.01.2024;16;52;30;32;2;79;7;24;5;47;4;31;30;-6;3;34,72;3;3,9;4;21;0;1;0;0;0
4;2;17.01.2024;7;35;43;40;26;204;2;11;4;33;2;30;31;-2;3;23,24;2;2,563;1;25;0;1;0;0;0
4;2;17.01.2024;7;35;43;40;26;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;10;0;1;0;0;0
17;2;17.01.2024;3;30;23;39;2;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;8;0;1;0;0;1
17;2;17.01.2024;3;30;23;39;2;138;3;16;5;42;3;28;34;-10;3;29,03;3;2,851;2;6;0;1;0;0;1
17;2;17.01.2024;3;30;23;39;2;44;3;23;5;42;3;33;37;3;3;23,2;2;2,671;2;26;1;1;0;0;1
17;2;18.01.2024;3;30;23;39;3;204;2;11;4;33;2;30;31;-2;3;23,24;2;2,563;1;26;1;1;0;0;1
17;2;18.01.2024;3;30;23;39;3;42;2;2;2;22;1;28;44;-4;3;19,44;2;2,292;1;9;0;1;0;0;1
49;4;17.01.2024;15;54;32;30;9;194;4;22;5;48;4;43;49;-10;3;32,1;3;3,034;2;6;0;1;0;0;0
49;4;17.01.2024;15;54;32;30;9;164;4;15;4;39;3;33;29;-2;3;26,2;3;2,728;2;10;0;1;0;0;0
29;5;18.01.2024;4;40;28;50;42;118;5;17;5;42;3;33;26;-32;1;26,8;3;2,788;2;42;1;1;0;0;0
29;5;18.01.2024;4;40;28;50;42;88;5;8;4;56;5;30;60;-31;1;25,76;3;2,957;2;9;0;1;0;0;0
9;2;18.01.2024;3;31;32;30;3;42;2;2;2;22;1;28;44;-4;3;19,44;2;2,292;1;9;0;1;0;0;0
9;2;18.01.2024;3;31;32;30;3;204;2;11;4;33;2;30;31;-2;3;23,24;2;2,563;1;26;1;1;0;0;0
29;5;18.01.2024;4;40;28;50;42;134;5;29;5;56;5;32;30;-32;1;37,18;3;3,277;3;8;0;1;0;0;0
16;7;18.01.2024;8;43;33;32;9;138;3;16;5;42;3;28;34;-10;3;29,03;3;2,851;2;7;0;1;0;0;1
16;7;18.01.2024;8;43;33;32;9;44;3;23;5;42;3;33;37;3;3;23,2;2;2,671;2;27;1;1;0;0;1
29;5;19.01.2024;4;40;28;50;43;88;5;8;4;56;5;30;60;-31;1;25,76;3;2,957;2;10;0;1;0;0;0
51;12;19.01.2024;34;55;30;28;6;87;7;23;5;56;5;30;32;-12;2;27,47;3;3,002;2;10;0;1;0;0;0
51;12;19.01.2024;34;55;30;28;6;79;7;24;5;47;4;31;30;-6;3;34,72;3;3,9;4;24;0;1;0;0;0
30;5;19.01.2024;16;52;30;32;5;210;7;34;6;55;4;28;30;-10;3;30,11;3;3,06;2;6;0;1;0;0;0
30;5;19.01.2024;16;52;30;32;5;112;7;22;5;45;3;28;34;-30;1;37,18;3;3,109;3;8;0;1;0;0;0
42;3;20.01.2024;4;34;35;43;37;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;11;0;1;0;0;0
42;3;21.01.2024;4;34;35;43;38;44;3;23;5;42;3;33;37;3;3;23,2;2;2,671;2;30;1;1;0;0;0
42;3;21.01.2024;4;34;35;43;38;192;3;6;4;24;1;28;23;-7;3;20,45;2;2,338;1;3;0;1;0;0;0
12;2;23.01.2024;9;38;42;47;1;114;2;13;4;42;3;33;30;3;3;31,14;3;2,905;2;1;0;1;0;0;0
12;2;23.01.2024;9;38;42;47;1;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;14;0;1;0;0;0
7;1;19.01.2024;15;52;23;39;4;64;1;11;4;35;2;30;47;-3;3;30,67;3;2,798;2;9;0;1;0;0;1
7;1;19.01.2024;15;52;23;39;4;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;12;0;1;0;0;1
8;4;06.01.2024;2;31;31;30;29;48;2;10;4;34;2;30;30;0;3;26,23;3;2,672;2;22;0;1;0;1;0
8;4;06.01.2024;2;31;31;30;29;57;2;4;3;36;3;26;35;5;3;25,5;3;2,668;2;22;0;1;0;1;0
